'time 1'	em1
3623.73	-36.4949
3623.73	-36.3073
3623.73	-36.202
3623.73	-36.2612
3623.73	-36.2612
3623.74	-36.0276
3623.74	-35.998
3623.74	-36.1197
3623.74	-35.8433
3623.74	-35.8071
3623.74	-36.0934
3623.74	-36.0375
3623.74	-36.0243
3623.74	-35.9684
3623.74	-36.0671
3623.75	-36.0868
3623.75	-36.225
3623.75	-36.0342
3623.75	-35.8927
3623.75	-35.9157
3623.75	-35.9782
3623.75	-35.8795
3623.75	-35.7808
3623.75	-35.8663
3623.75	-35.8729
3623.76	-35.8696
3623.76	-35.9651
3623.76	-35.8565
3623.76	-36.123
3623.76	-36.2546
3623.76	-36.3435
3623.76	-36.4422
3623.76	-36.5409
3623.76	-36.4916
3623.76	-36.5245
3623.77	-36.4027
3623.77	-36.3665
3623.77	-36.2217
3623.77	-36.1888
3623.77	-36.1855
3623.77	-36.179
3623.77	-35.9387
3623.77	-35.7545
3623.77	-35.9486
3623.77	-36.1329
3623.78	-36.0769
3623.78	-36.1822
3623.78	-36.2481
3623.78	-36.4554
3623.78	-36.4488
3623.78	-36.5442
3623.78	-36.3139
3623.78	-36.1822
3623.78	-36.0506
3623.78	-36.1724
3623.79	-36.0111
3623.79	-36.1822
3623.79	-36.044
3623.79	-35.8828
3623.79	-35.9322
3623.79	-35.919
3623.79	-36.0835
3623.79	-36.2612
3623.79	-36.2415
3623.79	-36.3863
3623.8	-36.3501
3623.8	-36.5936
3623.8	-36.3534
3623.8	-36.2777
3623.8	-36.3237
3623.8	-36.2678
3623.8	-36.3106
3623.8	-36.1526
3623.8	-36.1329
3623.8	-36.0342
3623.81	-35.8499
3623.81	-35.9124
3623.81	-35.8334
3623.81	-35.8927
3623.81	-36.1
3623.81	-36.1855
3623.81	-36.2875
3623.81	-36.1428
3623.81	-36.3073
3623.81	-36.0309
3623.82	-35.919
3623.82	-36.1
3623.82	-36.2217
3623.82	-36.1855
3623.82	-36.2119
3623.82	-36.123
3623.82	-36.0539
3623.82	-35.8993
3623.82	-36.1131
3623.82	-36.1263
3623.83	-36.1461
3623.83	-36.2546
3623.83	-36.3073
3623.83	-36.3139
3623.83	-36.2612
3623.83	-36.5969
3623.83	-36.4784
3623.83	-36.4455
3623.83	-36.3961
3623.83	-36.5245
3623.84	-36.508
3623.84	-36.5771
3623.84	-36.4817
3623.84	-36.4422
3623.84	-36.4192
3623.84	-36.6396
3623.84	-36.6429
3623.84	-36.6758
3623.84	-36.8338
3623.84	-36.9884
3623.85	-36.9226
3623.85	-37.1036
3623.85	-36.7384
3623.85	-36.7318
3623.85	-36.6495
3623.85	-36.5771
3623.85	-36.4225
3623.85	-36.3599
3623.85	-36.2283
3623.85	-36.327
3623.86	-36.3369
3623.86	-36.3928
3623.86	-36.3928
3623.86	-36.7515
3623.86	-36.9226
3623.86	-37.0246
3623.86	-36.8831
3623.86	-36.9062
3623.86	-37.0575
3623.86	-36.7647
3623.87	-36.7252
3623.87	-36.5343
3623.87	-36.5278
3623.87	-36.4093
3623.87	-36.5574
3623.87	-36.4093
3623.87	-36.5146
3623.87	-36.3599
3623.87	-36.4784
3623.87	-36.5936
3623.88	-36.7219
3623.88	-36.9325
3623.88	-37.0674
3623.88	-37.0312
3623.88	-37.2714
3623.88	-37.2418
3623.88	-37.0148
3623.88	-36.8799
3623.88	-36.9621
3623.88	-36.9917
3623.89	-36.9786
3623.89	-36.9753
3623.89	-37.2254
3623.89	-37.0246
3623.89	-36.9555
3623.89	-37.0641
3623.89	-37.1497
3623.89	-37.2155
3623.89	-37.2451
3623.89	-37.2813
3623.9	-37.0839
3623.9	-37.199
3623.9	-37.0148
3623.9	-36.9457
3623.9	-36.8075
3623.9	-36.712
3623.9	-36.6495
3623.9	-36.7055
3623.9	-36.5672
3623.9	-36.5804
3623.91	-36.4455
3623.91	-36.7351
3623.91	-36.9292
3623.91	-37.176
3623.91	-37.1102
3623.91	-37.1859
3623.91	-37.4524
3623.91	-37.3734
3623.91	-37.3998
3623.91	-37.3537
3623.92	-37.4261
3623.92	-37.2978
3623.92	-37.2155
3623.92	-37.255
3623.92	-37.097
3623.92	-37.0378
3623.92	-36.9786
3623.92	-36.8338
3623.92	-36.995
3623.92	-37.0148
3623.93	-37.2056
3623.93	-37.357
3623.93	-37.5446
3623.93	-37.4656
3623.93	-37.1497
3623.93	-37.3208
3623.93	-37.2418
3623.93	-37.0312
3623.93	-37.0674
3623.93	-36.9917
3623.94	-37.0378
3623.94	-37.0312
3623.94	-37.2385
3623.94	-37.2583
3623.94	-37.2056
3623.94	-37.3767
3623.94	-37.3734
3623.94	-37.5182
3623.94	-37.6071
3623.94	-37.6959
3623.95	-37.7124
3623.95	-37.64
3623.95	-37.3998
3623.95	-37.357
3623.95	-37.2945
3623.95	-37.2583
3623.95	-37.278
3623.95	-37.3043
3623.95	-37.1925
3623.95	-37.1398
3623.96	-36.9983
3623.96	-37.2188
3623.96	-37.2813
3623.96	-37.3734
3623.96	-37.538
3623.96	-37.6433
3623.96	-37.719
3623.96	-37.7058
3623.96	-37.8901
3623.96	-37.7025
3623.97	-37.4425
3623.97	-37.4919
3623.97	-37.5314
3623.97	-37.38
3623.97	-37.4458
3623.97	-37.4129
3623.97	-37.1925
3623.97	-37.0575
3623.97	-37.4656
3623.97	-37.5182
3623.98	-37.6038
3623.98	-37.5511
3623.98	-37.5939
3623.98	-37.5873
3623.98	-37.5248
3623.98	-37.5215
3623.98	-37.4787
3623.98	-37.334
3623.98	-37.2583
3623.98	-37.3175
3623.99	-37.3241
3623.99	-37.3669
3623.99	-37.4787
3623.99	-37.4755
3623.99	-37.5314
3623.99	-37.7058
3623.99	-37.8934
3623.99	-37.8539
3623.99	-37.8605
3623.99	-37.9493
3624	-38.0316
3624	-38.0414
3624	-37.7124
3624	-37.4952
3624	-37.5314
3624	-37.6926
3624	-37.6202
3624	-37.6334
3624	-37.3702
3624	-37.2287
3624.01	-37.0937
3624.01	-37.1069
3624.01	-37.1497
3624.01	-37.3076
3624.01	-37.5577
3624.01	-37.8802
3624.01	-37.719
3624.01	-37.5939
3624.01	-37.5413
3624.01	-37.2846
3624.02	-37.1365
3624.02	-37.1168
3624.02	-37.074
3624.02	-36.9852
3624.02	-36.7778
3624.02	-36.8568
3624.02	-36.7614
3624.02	-36.7844
3624.02	-36.8996
3624.02	-36.9424
3624.03	-36.9391
3624.03	-36.9687
3624.03	-37.2418
3624.03	-37.1003
3624.03	-37.0575
3624.03	-37.1168
3624.03	-36.9161
3624.03	-37.0082
3624.03	-36.995
3624.03	-36.9983
3624.04	-36.893
3624.04	-36.87
3624.04	-36.7548
3624.04	-36.6561
3624.04	-36.6725
3624.04	-36.7219
3624.04	-36.7713
3624.04	-36.8766
3624.04	-37.0148
3624.04	-37.097
3624.05	-37.0016
3624.05	-36.9259
3624.05	-36.7384
3624.05	-36.5705
3624.05	-36.4685
3624.05	-36.4258
3624.05	-36.3237
3624.05	-36.3764
3624.05	-36.3764
3624.05	-36.3994
3624.06	-36.1559
3624.06	-36.1131
3624.06	-36.1493
3624.06	-36.2843
3624.06	-36.5113
3624.06	-36.6758
3624.06	-36.6166
3624.06	-36.4751
3624.06	-36.4587
3624.06	-36.0967
3624.07	-35.9716
3624.07	-36.0309
3624.07	-36.1197
