time1	em2
8461.481	-29.884
8461.482	-30.0321
8461.483	-30.1934
8461.484	-30.2888
8461.485	-30.3151
8461.486	-30.4566
8461.487	-30.3809
8461.488	-30.4895
8461.489	-30.4204
8461.490	-30.1012
8461.491	-30.1604
8461.492	-30.0782
8461.493	-30.0124
8461.494	-29.8347
8461.495	-29.6734
8461.496	-29.759
8461.497	-29.6175
8461.498	-29.7722
8461.499	-30.1012
8461.500	-30.0552
8461.501	-30.1769
8461.502	-30.4138
8461.503	-30.5093
8461.504	-30.2888
8461.505	-30.1769
8461.506	-30.1012
8461.507	-29.9137
8461.508	-29.7787
8461.509	-29.7261
8461.510	-29.5254
8461.511	-29.249
8461.512	-29.2917
8461.513	-29.2522
8461.514	-29.091
8461.515	-29.5846
8461.516	-29.9564
8461.517	-29.9926
8461.518	-30.1736
8461.519	-30.5093
8461.520	-30.6837
8461.521	-30.8548
8461.522	-30.8219
8461.523	-30.4599
8461.524	-30.3052
8461.525	-30.3019
8461.526	-30.0124
8461.527	-29.8544
8461.528	-29.782
8461.529	-29.7327
8461.530	-29.7722
8461.531	-29.6372
8461.532	-30.1144
8461.533	-30.2888
8461.534	-30.404
8461.535	-30.6211
8461.536	-30.9634
8461.537	-30.8021
8461.538	-30.9074
8461.539	-30.8317
8461.540	-30.4994
8461.541	-30.4928
8461.542	-30.2625
8461.543	-29.9169
8461.544	-29.5813
8461.545	-29.7491
8461.546	-29.6866
8461.547	-29.5912
8461.548	-29.7491
8461.549	-29.8446
8461.550	-29.8413
8461.551	-30.0255
8461.552	-30.3414
8461.553	-30.733
8461.554	-30.5422
8461.555	-30.552
8461.556	-30.2625
8461.557	-29.7985
8461.558	-29.476
8461.559	-29.4859
8461.560	-29.1305
8461.561	-28.8343
8461.562	-28.7521
8461.563	-28.6698
8461.564	-28.5448
8461.565	-28.8574
8461.566	-29.0285
8461.567	-29.2193
8461.568	-29.5517
8461.569	-29.9137
8461.570	-29.9926
8461.571	-30.0552
8461.572	-30.2625
8461.573	-30.0453
8461.574	-29.94
8461.575	-29.8248
8461.576	-29.8511
8461.577	-29.5813
8461.578	-29.4299
8461.579	-29.3016
8461.580	-29.2095
8461.581	-29.3246
8461.582	-29.5451
8461.583	-29.6603
8461.584	-29.5649
8461.585	-29.986
8461.586	-30.3349
8461.587	-30.3875
8461.588	-30.654
8461.589	-30.6869
8461.590	-30.4402
8461.591	-30.144
8461.592	-30.1275
8461.593	-30.0881
8461.594	-29.861
8461.595	-29.4957
8461.596	-29.6274
8461.597	-29.453
8461.598	-29.7261
8461.599	-29.7952
8461.600	-29.9433
8461.601	-29.9926
8461.602	-30.0848
8461.603	-30.1901
8461.604	-30.2065
8461.605	-30.2131
8461.606	-30.1604
8461.607	-30.0815
8461.608	-30.0288
8461.609	-30.0091
8461.610	-29.7754
8461.611	-29.5451
8461.612	-29.4563
8461.613	-29.2654
8461.614	-28.9363
8461.615	-29.2983
8461.616	-29.5254
8461.617	-29.555
8461.618	-29.736
8461.619	-29.7853
8461.620	-30.0519
8461.621	-30.2592
8461.622	-30.2657
8461.623	-30.0387
8461.624	-29.861
8461.625	-29.7491
8461.626	-29.8511
8461.627	-29.8116
8461.628	-29.7195
8461.629	-29.7952
8461.630	-29.5616
8461.631	-29.1897
8461.632	-29.4135
8461.633	-29.374
8461.634	-29.5221
8461.635	-29.6537
8461.636	-29.8676
8461.637	-29.8775
8461.638	-29.8906
8461.639	-29.8873
8461.640	-29.3937
8461.641	-29.1371
8461.642	-29.0713
8461.643	-29.068
8461.644	-28.9956
8461.645	-28.9528
8461.646	-28.989
8461.647	-28.9857
8461.648	-29.1206
8461.649	-29.1601
8461.650	-29.2884
8461.651	-29.5385
8461.652	-29.9169
8461.653	-30.3118
8461.654	-30.3842
8461.655	-30.5191
8461.656	-30.5224
8461.657	-30.1835
8461.658	-30.1934
8461.659	-30.2394
8461.660	-29.8643
8461.661	-29.6471
8461.662	-29.634
8461.663	-29.6537
8461.664	-29.3905
8461.665	-29.6669
8461.666	-29.5418
8461.667	-29.3806
8461.668	-29.5089
8461.669	-29.7853
8461.670	-29.8281
8461.671	-29.68
8461.672	-29.8807
8461.673	-29.7656
8461.674	-29.6405
8461.675	-29.4596
8461.676	-29.3181
8461.677	-28.9824
8461.678	-28.785
8461.679	-28.9561
8461.680	-28.8212
8461.681	-28.7488
8461.682	-28.8903
8461.683	-29.0416
8461.684	-29.0614
8461.685	-29.1568
8461.686	-29.351
8461.687	-29.555
8461.688	-29.5945
8461.689	-29.3707
8461.690	-29.1042
8461.691	-29.0252
8461.692	-29.0713
8461.693	-28.7916
8461.694	-28.3638
8461.695	-28.3539
8461.696	-28.3934
8461.697	-28.1927
8461.698	-28.4921
8461.699	-28.5513
8461.700	-28.6534
8461.701	-28.7784
8461.702	-29.0449
8461.703	-29.4925
8461.704	-29.3608
8461.705	-29.3444
8461.706	-29.295
8461.707	-28.9693
8461.708	-28.729
8461.709	-28.6896
8461.710	-28.3605
8461.711	-28.4099
8461.712	-28.4131
8461.713	-28.4296
8461.714	-28.3506
8461.715	-28.6369
8461.716	-28.9232
8461.717	-28.9528
