time2	zEm3
3726.48	-48.3707
3726.49	-48.397
3726.49	-48.5253
3726.49	-48.4661
3726.49	-48.2983
3726.49	-48.239
3726.49	-48.0614
3726.49	-47.9626
3726.49	-47.9133
3726.49	-47.8968
3726.49	-48.0219
3726.5	-48.0317
3726.5	-47.9824
3726.5	-47.933
3726.5	-47.8014
3726.5	-47.854
3726.5	-47.8935
3726.5	-48.0153
3726.5	-48.0877
3726.5	-48.2028
3726.5	-48.2094
3726.51	-48.3081
3726.51	-48.4825
3726.51	-48.2489
3726.51	-48.193
3726.51	-48.3114
3726.51	-48.5352
3726.51	-48.4496
3726.51	-48.3542
3726.51	-48.4562
3726.51	-48.4233
3726.52	-48.2851
3726.52	-48.4233
3726.52	-48.3707
3726.52	-48.4529
3726.52	-48.5582
3726.52	-48.6076
3726.52	-48.7754
3726.52	-48.782
3726.52	-48.7228
3726.52	-48.5615
3726.53	-48.3674
3726.53	-48.4266
3726.53	-48.3443
3726.53	-48.2094
3726.53	-48.1403
3726.53	-48.1666
3726.53	-48.1502
3726.53	-47.8705
3726.53	-48.239
3726.53	-48.3279
3726.54	-48.3509
3726.54	-48.4957
