time3	em3
8607.023	-26.9587
8607.024	-26.8797
8607.025	-26.9061
8607.026	-27.1265
8607.027	-27.1726
8607.028	-27.2549
8607.029	-27.4687
8607.030	-27.7386
8607.031	-27.7649
8607.032	-27.8175
8607.033	-27.8241
8607.034	-27.5148
8607.035	-27.2549
8607.036	-27.1002
8607.037	-26.781
8607.038	-26.8896
8607.039	-26.7547
8607.040	-26.6263
8607.041	-26.4059
8607.042	-26.396
8607.043	-26.5079
8607.044	-26.5934
8607.045	-26.7448
8607.046	-26.9554
8607.047	-27.0015
8607.048	-27.0146
8607.049	-27.189
8607.050	-27.0673
8607.051	-26.9093
8607.052	-26.9028
8607.053	-27.0607
8607.054	-26.9982
8607.055	-26.9587
8607.056	-26.8468
8607.057	-26.8369
8607.058	-26.6987
8607.059	-26.8468
8607.060	-26.86
8607.061	-26.8205
8607.062	-26.9949
8607.063	-27.1528
8607.064	-27.2647
8607.065	-27.268
8607.066	-27.2614
8607.067	-27.0146
8607.068	-26.8797
8607.069	-26.9258
8607.070	-26.7415
8607.071	-26.4717
8607.072	-26.2381
8607.073	-26.3105
8607.074	-26.1295
8607.075	-25.9847
8607.076	-26.3499
8607.077	-26.554
8607.078	-26.5112
8607.079	-26.8139
8607.080	-26.9192
8607.081	-26.9554
8607.082	-27.0541
8607.083	-27.2187
8607.084	-26.9752
8607.085	-26.8304
8607.086	-26.7975
8607.087	-26.7711
8607.088	-26.656
8607.089	-26.5572
8607.090	-26.6
8607.091	-26.6165
8607.092	-26.5704
8607.093	-26.5803
8607.094	-26.8435
8607.095	-26.8337
8607.096	-26.8764
8607.097	-26.8995
8607.098	-26.8106
8607.099	-27.0081
8607.100	-26.9883
8607.101	-26.7251
8607.102	-26.6
8607.103	-26.3236
8607.104	-26.2578
8607.105	-26.0999
8607.106	-26.3894
8607.107	-26.4552
8607.108	-26.3532
8607.109	-26.4092
8607.110	-26.5836
8607.111	-26.8402
8607.112	-27.1561
8607.113	-27.2351
8607.114	-27.268
8607.115	-27.0837
8607.116	-27.2384
8607.117	-27.0936
8607.118	-27.0081
8607.119	-26.9093
8607.120	-26.7678
8607.121	-26.7119
8607.122	-26.4881
8607.123	-26.6395
8607.124	-26.4421
8607.125	-26.1262
8607.126	-26.4651
8607.127	-26.5803
8607.128	-26.7481
8607.129	-27.1496
8607.130	-27.2384
8607.131	-27.2614
8607.132	-27.1265
8607.133	-27.245
8607.134	-26.9719
8607.135	-27.0212
8607.136	-26.9949
8607.137	-26.883
8607.138	-26.8172
8607.139	-26.6362
8607.140	-26.4223
8607.141	-26.3894
8607.142	-26.4322
8607.143	-26.3434
8607.144	-26.3039
8607.145	-26.5605
8607.146	-26.9126
8607.147	-27.2187
8607.148	-27.1792
8607.149	-27.1693
8607.150	-26.985
8607.151	-26.656
8607.152	-26.4618
8607.153	-26.3302
8607.154	-26.2414
8607.155	-26.3631
8607.156	-26.5276
8607.157	-26.5309
8607.158	-26.5178
8607.159	-26.8764
8607.160	-26.939
8607.161	-26.8008
8607.162	-27.0311
8607.163	-27.1265
8607.164	-27.2581
8607.165	-26.9028
8607.166	-26.9159
8607.167	-26.7678
8607.168	-26.6395
8607.169	-26.6724
8607.170	-26.7251
8607.171	-26.8764
8607.172	-26.6724
8607.173	-26.758
8607.174	-26.5836
8607.175	-26.5013
8607.176	-26.7382
8607.177	-26.9422
8607.178	-26.8962
8607.179	-26.702
8607.180	-26.7975
8607.181	-26.8008
8607.182	-26.8172
8607.183	-26.8633
8607.184	-26.4849
8607.185	-26.5145
8607.186	-26.3302
8607.187	-26.1591
8607.188	-26.0011
8607.189	-25.7543
8607.190	-25.8004
8607.191	-25.5931
8607.192	-25.6359
8607.193	-25.7511
8607.194	-25.9616
8607.195	-25.9748
8607.196	-26.1755
8607.197	-26.4519
8607.198	-26.3565
8607.199	-26.3137
8607.200	-26.09
8607.201	-25.7675
8607.202	-25.7346
8607.203	-25.6655
8607.204	-25.6096
8607.205	-25.5635
8607.206	-25.3496
8607.207	-25.1456
8607.208	-24.7441
8607.209	-25.0469
8607.210	-25.2509
8607.211	-25.3595
8607.212	-25.5108
8607.213	-25.6326
8607.214	-25.7543
8607.215	-25.6852
8607.216	-25.8366
8607.217	-25.649
8607.218	-25.4187
8607.219	-25.2048
8607.220	-25.1982
8607.221	-25.0271
8607.222	-24.8461
8607.223	-25.0271
8607.224	-25.0896
8607.225	-25.0929
8607.226	-25.3891
8607.227	-25.3759
8607.228	-25.4088
8607.229	-25.4615
8607.230	-25.784
8607.231	-25.8531
8607.232	-25.9485
8607.233	-25.8728
8607.234	-25.7642
8607.235	-25.728
8607.236	-25.8662
8607.237	-25.7313
8607.238	-25.7247
8607.239	-25.5931
8607.240	-25.8366
8607.241	-25.7083
8607.242	-25.807
8607.243	-26.0867
8607.244	-26.0933
8607.245	-25.9649
8607.246	-26.2512
8607.247	-26.0505
8607.248	-26.1953
8607.249	-26.271
8607.250	-26.2775
8607.251	-25.7741
8607.252	-25.6194
8607.253	-25.2739
8607.254	-25.0896
8607.255	-25.0107
8607.256	-25.0502
8607.257	-25.0831
8607.258	-24.8297
8607.259	-25.2509
8607.260	-25.2114
8607.261	-25.1291
8607.262	-25.2706
8607.263	-25.7083
8607.264	-25.932
8607.265	-25.6622
8607.266	-25.7116
8607.267	-25.6096
8607.268	-25.445
8607.269	-25.2608
8607.270	-25.2772
8607.271	-25.1193
8607.272	-25.1028
8607.273	-24.9449
8607.274	-25.0074
8607.275	-24.8659
8607.276	-25.1028
8607.277	-25.0929
8607.278	-25.0567
8607.279	-25.1357
8607.280	-25.3397
8607.281	-25.4746
8607.282	-25.5207
8607.283	-25.6589
8607.284	-25.5174
8607.285	-25.3134
8607.286	-25.3364
8607.287	-25.4088
8607.288	-25.2377
8607.289	-25.0765
8607.290	-24.9152
8607.291	-24.6783
8607.292	-24.5467
8607.293	-24.6355
8607.294	-24.8264
8607.295	-24.9317
8607.296	-25.0798
8607.297	-25.1028
8607.298	-25.1752
8607.299	-25.2871
8607.300	-25.0403
8607.301	-24.9712
8607.302	-24.7474
8607.303	-24.6717
8607.304	-24.6981
8607.305	-24.6191
8607.306	-24.573
8607.307	-24.392
8607.308	-24.109
8607.309	-24.1913
8607.310	-24.3361
8607.311	-24.5105
8607.312	-24.4743
8607.313	-24.5928
8607.314	-24.7836
8607.315	-24.6783
8607.316	-24.5763
8607.317	-24.4184
8607.318	-24.0597
8607.319	-24.0696
8607.320	-23.7767
8607.321	-23.7109
8607.322	-23.7175
8607.323	-23.7767
8607.324	-23.5464
8607.325	-23.1712
8607.326	-23.4279
8607.327	-23.6352
8607.328	-23.6582
8607.329	-23.6187
8607.330	-23.8359
8607.331	-23.7372
8607.332	-23.8952
8607.333	-23.7931
8607.334	-23.4213
8607.335	-23.2403
8607.336	-23.2634
8607.337	-23.2864
8607.338	-23.2469
8607.339	-23.2765
8607.340	-23.316
8607.341	-23.0495
8607.342	-23.2831
8607.343	-23.5332
8607.344	-23.7504
8607.345	-23.8096
8607.346	-23.8392
8607.347	-23.8491
